iter	Passed	Remaining
250	2009	5997
251	2017	5989
252	2026	5982
253	2034	5974
254	2041	5964
255	2049	5955
256	2057	5947
257	2065	5939
258	2072	5930
259	2082	5926
260	2093	5926
261	2103	5925
262	2111	5917
263	2119	5908
264	2127	5900
265	2134	5890
266	2142	5882
267	2149	5872
268	2157	5863
269	2164	5852
270	2172	5845
271	2180	5836
272	2188	5827
273	2195	5817
274	2203	5808
275	2210	5799
276	2218	5790
277	2226	5781
278	2234	5774
279	2241	5764
280	2249	5756
281	2256	5745
282	2263	5735
283	2271	5726
284	2278	5717
285	2286	5707
286	2293	5698
287	2301	5690
288	2309	5680
289	2316	5671
290	2323	5661
291	2330	5651
292	2338	5642
293	2345	5631
294	2352	5622
295	2359	5612
296	2366	5602
297	2374	5594
298	2382	5585
299	2389	5576
300	2397	5566
301	2404	5557
302	2412	5548
303	2419	5538
304	2426	5528
305	2433	5518
306	2440	5509
307	2447	5499
308	2455	5490
309	2462	5481
310	2469	5472
311	2477	5462
312	2484	5453
313	2491	5443
314	2498	5434
315	2506	5424
316	2513	5415
317	2520	5405
318	2528	5398
319	2536	5389
320	2543	5379
321	2550	5369
322	2557	5360
323	2564	5351
324	2572	5343
325	2579	5334
326	2587	5325
327	2594	5316
328	2602	5308
329	2610	5299
330	2617	5291
331	2625	5283
332	2632	5273
333	2640	5264
334	2647	5255
335	2655	5247
336	2662	5237
337	2670	5230
338	2678	5222
339	2686	5214
340	2693	5205
341	2701	5197
342	2708	5188
343	2715	5179
344	2723	5170
345	2730	5161
346	2737	5151
347	2745	5144
348	2752	5134
349	2760	5126
350	2767	5118
351	2775	5109
352	2782	5099
353	2789	5091
354	2797	5082
355	2805	5074
356	2813	5067
357	2821	5059
358	2828	5049
359	2835	5040
360	2842	5031
361	2850	5023
362	2857	5014
363	2864	5005
364	2872	4997
365	2879	4987
366	2886	4979
367	2893	4970
368	2901	4962
369	2909	4953
370	2916	4944
371	2924	4936
372	2931	4927
373	2939	4919
374	2946	4911
375	2954	4902
376	2961	4894
377	2969	4885
378	2976	4877
379	2984	4868
380	2990	4859
381	2997	4849
382	3005	4842
383	3013	4834
384	3021	4827
385	3029	4818
386	3036	4809
387	3043	4801
388	3051	4792
389	3058	4784
390	3066	4776
391	3074	4767
392	3080	4758
393	3088	4749
394	3095	4741
395	3102	4732
396	3109	4723
397	3117	4715
398	3125	4707
399	3133	4699
400	3140	4691
401	3148	4683
402	3155	4675
403	3162	4665
404	3169	4656
405	3177	4648
406	3184	4639
407	3192	4632
408	3199	4623
409	3207	4614
410	3214	4606
411	3221	4597
412	3228	4589
413	3236	4580
414	3243	4572
415	3251	4564
416	3258	4555
417	3265	4546
418	3272	4538
419	3280	4529
420	3287	4521
421	3295	4513
422	3302	4504
423	3309	4496
424	3316	4487
425	3323	4478
426	3331	4470
427	3338	4461
428	3345	4453
429	3352	4444
430	3360	4436
431	3367	4427
432	3374	4418
433	3381	4410
434	3389	4401
435	3397	4394
436	3404	4386
437	3412	4378
438	3419	4370
439	3427	4361
440	3434	4353
441	3441	4345
442	3448	4336
443	3455	4327
444	3463	4319
445	3470	4310
446	3477	4302
447	3484	4294
448	3492	4285
449	3499	4277
450	3507	4269
451	3514	4260
452	3521	4252
453	3529	4244
454	3536	4235
455	3544	4228
456	3552	4221
457	3561	4214
458	3569	4207
459	3578	4201
460	3587	4194
461	3596	4188
462	3605	4181
463	3613	4174
464	3622	4167
465	3630	4159
466	3638	4152
467	3646	4145
468	3655	4138
469	3663	4131
470	3671	4123
471	3680	4116
472	3689	4110
473	3697	4103
474	3706	4096
475	3714	4088
476	3722	4081
477	3730	4073
478	3737	4065
479	3744	4057
480	3753	4050
481	3761	4042
482	3768	4033
483	3775	4025
484	3783	4017
485	3790	4009
486	3798	4001
487	3806	3993
488	3813	3985
489	3821	3977
490	3828	3968
491	3835	3960
492	3843	3952
493	3850	3943
494	3857	3935
495	3865	3927
496	3872	3919
497	3880	3911
498	3888	3903
499	3895	3895
500	3903	3887
501	3910	3879
502	3918	3871
503	3926	3863
504	3933	3856
505	3941	3847
506	3948	3839
507	3955	3831
508	3963	3823
509	3970	3814
510	3977	3806
511	3985	3798
512	3992	3790
513	3999	3782
514	4007	3774
515	4014	3765
516	4021	3757
517	4028	3748
518	4036	3740
519	4043	3732
520	4051	3725
521	4058	3716
522	4066	3708
523	4073	3700
524	4081	3692
525	4088	3684
526	4095	3675
527	4102	3667
528	4110	3659
529	4117	3651
530	4125	3643
531	4133	3635
532	4140	3627
533	4147	3619
534	4155	3611
535	4162	3603
536	4169	3595
537	4177	3587
538	4184	3579
539	4191	3570
540	4199	3562
541	4207	3554
542	4214	3546
543	4221	3538
544	4228	3530
545	4236	3522
546	4243	3514
547	4251	3506
548	4258	3498
549	4265	3489
550	4272	3481
551	4280	3473
552	4287	3465
553	4294	3457
554	4302	3449
555	4309	3441
556	4317	3433
557	4324	3425
558	4331	3417
559	4339	3409
560	4347	3401
561	4354	3394
562	4362	3386
563	4369	3378
564	4377	3370
565	4385	3362
566	4392	3354
567	4399	3346
568	4407	3338
569	4415	3330
570	4422	3322
571	4430	3314
572	4437	3306
573	4444	3298
574	4451	3290
575	4459	3282
576	4467	3274
577	4474	3266
578	4481	3258
579	4488	3250
580	4496	3242
581	4503	3234
582	4510	3226
583	4517	3218
584	4525	3210
585	4532	3202
586	4539	3193
587	4546	3185
588	4554	3177
589	4561	3169
590	4568	3161
591	4576	3154
592	4583	3146
593	4591	3138
594	4598	3129
595	4606	3122
596	4613	3114
597	4621	3106
598	4628	3098
599	4635	3090
600	4643	3083
601	4651	3075
602	4659	3067
603	4667	3060
604	4675	3052
605	4682	3044
606	4689	3036
607	4697	3028
608	4704	3020
609	4712	3012
610	4719	3004
611	4725	2996
612	4733	2988
613	4740	2980
614	4747	2972
615	4755	2964
616	4762	2956
617	4769	2948
618	4777	2940
619	4784	2932
620	4792	2925
621	4799	2917
622	4807	2909
623	4814	2901
624	4821	2893
625	4828	2885
626	4836	2877
627	4843	2869
628	4851	2861
629	4858	2853
630	4865	2845
631	4873	2837
632	4880	2829
633	4888	2821
634	4895	2813
635	4902	2805
636	4910	2798
637	4918	2790
638	4925	2782
639	4932	2774
640	4939	2766
641	4947	2759
642	4954	2750
643	4963	2743
644	4971	2735
645	4978	2728
646	4985	2720
647	4993	2712
648	5000	2704
649	5008	2696
650	5014	2688
651	5022	2680
652	5029	2672
653	5037	2664
654	5044	2657
655	5052	2649
656	5059	2641
657	5066	2633
658	5073	2625
659	5080	2617
660	5088	2609
661	5095	2601
662	5103	2593
663	5110	2585
664	5117	2577
665	5124	2570
666	5132	2562
667	5139	2554
668	5147	2546
669	5155	2539
670	5162	2531
671	5170	2523
672	5178	2515
673	5185	2507
674	5192	2499
675	5199	2491
676	5206	2483
677	5213	2476
678	5220	2468
679	5228	2460
680	5235	2452
681	5243	2444
682	5250	2436
683	5257	2428
684	5264	2421
685	5272	2413
686	5279	2405
687	5287	2397
688	5294	2389
689	5301	2382
690	5309	2374
691	5316	2366
692	5323	2358
693	5331	2350
694	5338	2342
695	5346	2335
696	5353	2327
697	5361	2319
698	5368	2311
699	5375	2303
700	5383	2296
701	5390	2288
702	5398	2280
703	5404	2272
704	5412	2264
705	5420	2257
706	5427	2249
707	5434	2241
708	5441	2233
709	5449	2225
710	5457	2218
711	5465	2210
712	5472	2202
713	5480	2195
714	5487	2187
715	5494	2179
716	5502	2171
717	5509	2163
718	5517	2156
719	5524	2148
720	5532	2140
721	5539	2133
722	5547	2125
723	5554	2117
724	5562	2109
725	5569	2102
726	5576	2094
727	5583	2086
728	5591	2078
729	5598	2070
730	5605	2062
731	5613	2055
732	5621	2047
733	5630	2040
734	5638	2033
735	5647	2025
736	5655	2018
737	5662	2010
738	5670	2002
739	5677	1994
740	5684	1987
741	5692	1979
742	5698	1971
743	5706	1963
744	5715	1956
745	5724	1948
746	5733	1941
747	5743	1934
748	5752	1927
749	5761	1920
750	5769	1912
751	5778	1905
752	5786	1898
753	5794	1890
754	5802	1882
755	5810	1875
756	5818	1867
757	5826	1860
758	5834	1852
759	5842	1845
760	5851	1837
761	5859	1830
762	5867	1822
763	5876	1815
764	5884	1807
765	5892	1800
766	5900	1792
767	5907	1784
768	5914	1776
769	5923	1769
770	5931	1761
771	5939	1754
772	5946	1746
773	5954	1738
774	5961	1730
775	5968	1722
776	5975	1715
777	5983	1707
778	5990	1699
779	5997	1691
780	6005	1683
781	6012	1676
782	6019	1668
783	6026	1660
784	6033	1652
785	6041	1644
786	6048	1637
787	6056	1629
788	6064	1621
789	6073	1614
790	6081	1606
791	6089	1599
792	6096	1591
793	6104	1583
794	6111	1575
795	6120	1568
796	6127	1560
797	6135	1553
798	6142	1545
799	6150	1537
800	6157	1529
801	6165	1522
802	6172	1514
803	6180	1506
804	6187	1498
805	6195	1491
806	6202	1483
807	6210	1475
808	6217	1467
809	6224	1460
810	6231	1452
811	6238	1444
812	6246	1436
813	6253	1428
814	6260	1421
815	6268	1413
816	6275	1405
817	6283	1397
818	6290	1390
819	6298	1382
820	6306	1374
821	6313	1367
822	6320	1359
823	6327	1351
824	6335	1343
825	6342	1336
826	6350	1328
827	6357	1320
828	6364	1312
829	6371	1305
830	6379	1297
831	6386	1289
832	6393	1281
833	6400	1274
834	6407	1266
835	6415	1258
836	6422	1250
837	6430	1243
838	6437	1235
839	6444	1227
840	6451	1219
841	6459	1212
842	6466	1204
843	6474	1196
844	6481	1188
845	6489	1181
846	6496	1173
847	6503	1165
848	6511	1158
849	6518	1150
850	6526	1142
851	6534	1135
852	6541	1127
853	6549	1119
854	6556	1111
855	6563	1104
856	6571	1096
857	6578	1088
858	6585	1081
859	6593	1073
860	6601	1065
861	6609	1058
862	6617	1050
863	6625	1042
864	6632	1035
865	6639	1027
866	6647	1019
867	6654	1011
868	6661	1004
869	6669	996
870	6676	988
871	6683	981
872	6691	973
873	6698	965
874	6705	957
875	6712	950
876	6719	942
877	6727	934
878	6734	927
879	6742	919
880	6749	911
881	6756	903
882	6764	896
883	6771	888
884	6778	880
885	6786	873
886	6793	865
887	6800	857
888	6808	850
889	6815	842
890	6822	834
891	6829	826
892	6837	819
893	6844	811
894	6852	803
895	6860	796
896	6867	788
897	6875	781
898	6883	773
899	6890	765
900	6898	758
901	6905	750
902	6913	742
903	6920	734
904	6928	727
905	6935	719
906	6943	711
907	6950	704
908	6957	696
909	6964	688
910	6972	681
911	6979	673
912	6987	665
913	6994	658
914	7001	650
915	7009	642
916	7017	635
917	7023	627
918	7030	619
919	7038	612
920	7045	604
921	7053	596
922	7060	589
923	7068	581
924	7075	573
925	7083	566
926	7090	558
927	7098	550
928	7105	543
929	7112	535
930	7120	527
931	7127	520
932	7135	512
933	7142	504
934	7150	497
935	7157	489
936	7164	481
937	7172	474
938	7179	466
939	7187	458
940	7194	451
941	7202	443
942	7209	435
943	7216	428
944	7224	420
945	7232	412
946	7239	405
947	7246	397
948	7254	389
949	7262	382
950	7269	374
951	7276	366
952	7284	359
953	7292	351
954	7299	343
955	7307	336
956	7314	328
957	7321	321
958	7329	313
959	7337	305
960	7344	298
961	7352	290
962	7360	282
963	7367	275
964	7375	267
965	7382	259
966	7390	252
967	7397	244
968	7405	236
969	7413	229
970	7420	221
971	7427	213
972	7434	206
973	7442	198
974	7449	191
975	7456	183
976	7464	175
977	7471	168
978	7478	160
979	7486	152
980	7493	145
981	7501	137
982	7508	129
983	7516	122
984	7523	114
985	7530	106
986	7537	99
987	7545	91
988	7552	84
989	7560	76
990	7567	68
991	7575	61
992	7583	53
993	7591	45
994	7599	38
995	7607	30
996	7615	22
997	7622	15
998	7630	7
999	7637	0
