iter	Logloss
0	0.6527418117
1	0.6129141664
2	0.5814871912
3	0.5517076834
4	0.5239785552
5	0.4995131215
6	0.4783828602
7	0.4611281706
8	0.4441259525
9	0.4282035319
10	0.4147404534
11	0.4026760356
12	0.3897751791
13	0.3796643173
14	0.3712594738
15	0.3630461656
16	0.3545179267
17	0.3460548588
18	0.3405001108
19	0.3351766245
20	0.3286013446
21	0.3232892033
22	0.3178126472
23	0.3135819766
24	0.3093934846
25	0.3047007591
26	0.3007814615
27	0.2976419014
28	0.2938047309
29	0.2915965699
30	0.2893721196
31	0.2872390667
32	0.2844330128
33	0.2819603154
34	0.27947345
35	0.2771482501
36	0.2749995222
37	0.2737438055
38	0.2717927377
39	0.2698726172
40	0.2676792493
41	0.2659737276
42	0.2648006546
43	0.2629897683
44	0.2616402248
45	0.2602885557
46	0.2588867228
47	0.2571546347
48	0.256036484
49	0.2544788842
50	0.2533583577
51	0.2525690634
52	0.2515643592
53	0.2505830932
54	0.2495140999
55	0.2486718014
56	0.2477010667
57	0.2470775711
58	0.2462461144
59	0.2454307931
60	0.2447094767
61	0.2440538721
62	0.2430487971
63	0.2425210598
64	0.2416505205
65	0.2407200435
66	0.2399781532
67	0.2390199547
68	0.2381492949
69	0.2376059857
70	0.2371740174
71	0.2366022036
72	0.2360023499
73	0.2354839807
74	0.2350035671
75	0.2344139474
76	0.233598412
77	0.2327973443
78	0.2324552007
79	0.2319319822
80	0.2313634933
81	0.2309385025
82	0.2307320471
83	0.2302954209
84	0.2295575246
85	0.2290945702
86	0.2280006047
87	0.2275783392
88	0.2270833159
89	0.2266810581
90	0.2263132865
91	0.2259949252
92	0.225654752
93	0.2254256586
94	0.2250493167
95	0.2242106762
96	0.2237574126
97	0.2235352031
98	0.2229130648
99	0.2224961505
100	0.2223081783
101	0.2217250088
102	0.2214854445
103	0.2209941155
104	0.2207220579
105	0.2203430805
106	0.2201266413
107	0.2197686687
108	0.2195769621
109	0.2194918034
110	0.2193222929
111	0.2186355725
112	0.2184984629
113	0.2182913101
114	0.2177829649
115	0.2172497559
116	0.2170703312
117	0.2168629014
118	0.2165934767
119	0.2164519809
120	0.2160327122
121	0.215912576
122	0.2156996744
123	0.2155258701
124	0.2154500781
125	0.2153410272
126	0.2147075225
127	0.2144060664
128	0.214264003
129	0.2141249232
130	0.2139967025
131	0.2137168817
132	0.2135236479
133	0.2132985861
134	0.2131849068
135	0.2129473462
136	0.212741631
137	0.2125181299
138	0.2124536936
139	0.2123842902
140	0.2122285957
141	0.211809671
142	0.2116681524
143	0.2115912146
144	0.2114274383
145	0.2112521898
146	0.2109488879
147	0.2105328744
148	0.2102690499
149	0.2101299768
150	0.2100681947
151	0.2098751443
152	0.2097475955
153	0.2096005503
154	0.2095202583
155	0.2092259752
156	0.2089047991
157	0.2087573015
158	0.2084803263
159	0.2083398973
160	0.208233755
161	0.2080896424
162	0.2078569727
163	0.2077357135
164	0.207577445
165	0.2074962308
166	0.2073373252
167	0.2072514531
168	0.2071880916
169	0.2070939904
170	0.2069414145
171	0.2068105289
172	0.2066346647
173	0.2064729215
174	0.2063934058
175	0.206187546
176	0.2061195333
177	0.2059497632
178	0.2058214971
179	0.2057087279
180	0.205618349
181	0.2054440241
182	0.2052684918
183	0.2049371606
184	0.204830258
185	0.2046467042
186	0.2042449429
187	0.2041633445
188	0.2039262069
189	0.2038343771
190	0.2037206362
191	0.2036501901
192	0.2035632204
193	0.2034078685
194	0.2033247536
195	0.2032572201
196	0.2031699693
197	0.203066425
198	0.2028263279
199	0.2027025377
200	0.2026040502
201	0.2024976764
202	0.2023175731
203	0.2022173684
204	0.202029079
205	0.2019723404
206	0.2017384004
207	0.2015790866
208	0.2015244079
209	0.2013262337
210	0.2012561811
211	0.2012153987
212	0.2011186794
213	0.2010219802
214	0.2009580672
215	0.2008068178
216	0.2006599667
217	0.2005360707
218	0.2004807723
219	0.2003955948
220	0.2002758013
221	0.2001725916
222	0.1999191605
223	0.1998426377
224	0.1997303491
225	0.1996496408
226	0.1994979644
227	0.1993680813
228	0.1991677094
229	0.1990263996
230	0.1987741169
231	0.1987276726
232	0.198600844
233	0.1985156919
234	0.198285406
235	0.1981962987
236	0.1981225666
237	0.1980614431
238	0.1979731777
239	0.1977820427
240	0.1976757424
241	0.197525102
242	0.1973474723
243	0.1972683475
244	0.1971022101
245	0.1970202891
246	0.1969219141
